Title,Link,Policy Area,Focus,Country Coverage,Data Format,Authors,Type,Level of Observation,Start Date,End Date,Source,Language,World Region,Provider
,,,,,,,,,,,,,,
WHO PHSM: Public health and social measures,https://www.who.int/emergencies/diseases/novel-coronavirus-2019/phsm,Non-Pharmaceutical Interventions; Health and Care Policy; Macroeconomic and Financial Policy," measures or actions by individuals, institutions, communities, local and national governments and international bodies to slow or stop the spread of an infectious disease. Establishing one single open-content dataset by merging pre-existing datasets from WHO, the London School of Hygiene and Tropical Medicine, ACAPS, University of Oxford, Global Public Health Intelligence Network, US Centers for Disease Control and Prevention and the Complexity Science Hub Vienna.",worldwide; AFG; ALB; DZA; ASM; AND; AGO; ATG; ARG; ARM; ABW; AUS; AUT; AZE; BHS; BHR; BGD; BRB; BLR; BEL; BLZ; BEN; BMU; BTN; BOL; BIH; BWA; BRA; BRN; BGR; BFA; BDI; KHM; CMR; CAN; CAF; TCD; CHL; CHN; COL; COM; COG; COK; CRI; HRV; CUB; CYP; CZE; DNK; DJI; DMA; DOM; ECU; EGY; SLV; GNQ; ERI; EST; ETH; FJI; FIN; FRA; GUF; GAB; GMB; GEO; DEU; GHA; GRC; GRL; GRD; GUM; GTM; GIN; GNB; GUY; HTI; HND; HUN; ISL; IND; IDN; IRN; IRQ; IRL; ISR; ITA; JAM; JPN; JOR; KAZ; KEN; KIR; KWT; KGZ; LAO; LVA; LBN; LSO; LBR; LBY; LIE; LTU; LUX; MDG; MWI; MYS; MDV; MLI; MLT; MHL; MRT; MUS; MEX; FSM; MCO; MNG; MAR; MOZ; MMR; NAM; NRU; NPL; NLD; NZL; NIC; NER; NGA; NIU; NOR; OMN; PAK; PLW; PAN; PNG; PRY; PER; PHL; POL; PRT; PRI; QAT; REU; ROU; RUS; RUS; RWA; KNA; LCA; VCT; WSM; SMR; STP; SAU; SEN; SYC; SLE; SGP; SVK; SVN; SLB; SOM; ZAF; ESP; LKA; SDN; SUR; SWZ; SWE; CHE; SYR; TJK; THA; TLS; TGO; TON; TTO; TUN; TUR; TKM; TUV; UGA; UKR; ARE; GBR; USA; URY; UZB; VUT; VEN; YEM; ZMB; ZWE; GGY; IMN; JEY; MNE; SRB; SSD,csv,[WHO](https://twitter.com/WHO),Policy Tracker,national,2020-01-04,up-to-date,Governmental agencies; International organisations; Academics; Think tanks,,worldwide; Sub-Saharan Africa; East Asia & Pacific; Eastern Europe & Central Asia; Latin America & the Caribbean; Middle East & North Africa; Southeast Asia; North America; West Europe,International organisations
COVID19 Government Measures Dataset,https://www.acaps.org/covid19-government-measures-dataset,Non-Pharmaceutical Interventions; Health and Care Policy," implemented governments measures structured by 1) Social distancing, 2) Movement restrictions, 3) Public health measures, 4) Social and economic measures, 5) Lockdowns",worldwide; AFG; ALB; DZA; AGO; ATG; ARG; ARM; AUS; AUT; AZE; BHS; BHR; BGD; BRB; BLR; BEL; BLZ; BEN; BTN; BOL; BIH; BWA; BRA; BRN; BGR; BFA; BDI; KHM; CMR; CAN; CAF; TCD; CHL; CHN; COL; COM; COG; CRI; HRV; CUB; CYP; CZE; DNK; DJI; DMA; DOM; ECU; EGY; SLV; GNQ; ERI; EST; ETH; FJI; FIN; FRA; GAB; GMB; GEO; DEU; GHA; GRC; GRD; GTM; GIN; GNB; GUY; HTI; HND; HKG; HUN; ISL; IND; IDN; IRQ; IRL; ISR; ITA; JAM; JPN; JOR; KAZ; KEN; KIR; KWT; KGZ; LVA; LBN; LSO; LBR; LBY; LIE; LTU; LUX; MDG; MWI; MYS; MDV; MLI; MLT; MHL; MRT; MUS; MEX; MNG; MAR; MOZ; MMR; NAM; NRU; NPL; NLD; NZL; NIC; NER; NGA; NOR; OMN; PAK; PLW; PAN; PNG; PRY; PER; PHL; POL; PRT; QAT; ROU; RUS; RUS; RWA; KNA; LCA; VCT; WSM; SMR; STP; SAU; SEN; SYC; SLE; SGP; SVK; SVN; SLB; SOM; ZAF; ESP; LKA; SDN; SUR; SWZ; SWE; CHE; TJK; THA; TLS; TGO; TON; TTO; TUN; TUR; TKM; TUV; UGA; UKR; ARE; GBR; USA; URY; UZB; VUT; VEN; YEM; ZMB; ZWE; MNE; SRB; SSD,xlsx,[ACAPS](https://twitter.com/ACAPSproject),Policy Tracker,national,2020-01-01,2021-01-15,Governmental agencies; International organisations; Think tanks; Media,,worldwide; Sub-Saharan Africa; East Asia & Pacific; Eastern Europe & Central Asia; Latin America & the Caribbean; Middle East & North Africa; Southeast Asia; North America; West Europe,Academics
Oxford COVID19 Government Response Tracker,https://www.bsg.ox.ac.uk/research/research-projects/coronavirus-government-response-tracker,Non-Pharmaceutical Interventions; Health and Care Policy; Macroeconomic and Financial Policy,"8 indicators on containment policies (such as school closures or travel restrictions), 4 economic indicators on fiscal or stimulus measures, and 6 indicators that track health system policies (such as testing).",worldwide; AFG; ALB; DZA; AND; AGO; ARG; ABW; AUS; AUT; AZE; BHR; BGD; BRB; BLR; BEL; BLZ; BEN; BMU; BTN; BOL; BIH; BWA; BRA; BGR; BFA; BDI; KHM; CMR; CAN; CPV; CAF; TCD; CHL; CHN; COL; COG; CRI; CIV; HRV; CUB; CYP; CZE; DNK; DJI; DMA; DOM; ECU; EGY; SLV; ERI; EST; ETH; FJI; FIN; FRA; GAB; GMB; GEO; DEU; GHA; GIB; GRC; GRL; GUM; GTM; GIN; GUY; HTI; HND; HKG; HUN; ISL; IND; IDN; IRQ; IRL; ISR; ITA; JAM; JPN; JOR; KAZ; KEN; KOR; KWT; LVA; LBN; LSO; LBR; LBY; LTU; LUX; MAC; MDG; MWI; MYS; MLI; MRT; MUS; MEX; MNG; MAR; MOZ; MMR; NAM; NPL; NLD; NZL; NIC; NER; NGA; NOR; OMN; PAK; PAN; PNG; PRY; PER; PHL; POL; PRT; PRI; QAT; ROU; RUS; RWA; SMR; SAU; SEN; SYC; SLE; SGP; SVN; SLB; SOM; ZAF; ESP; LKA; SDN; SUR; SWZ; SWE; CHE; TWN; TJK; THA; TLS; TGO; TTO; TUN; TUR; TKM; UGA; UKR; ARE; GBR; URY; UZB; VUT; VEN; VNM; YEM; ZMB; ZWE; SRB; SSD; XKX; USA,csv; API,"[Thomas Hale](https://twitter.com/thomasnhale);
        [Anna Petherick](https://twitter.com/annajessiep);
        [Toby Phillips](https://twitter.com/TobyMPhillips);
        [Oxford Blavatnik School](https://twitter.com/BlavatnikSchool)",Policy Tracker,national,2020-01-01,up-to-date,Governmental agencies; International organisations; Think tanks; Media,,worldwide; Sub-Saharan Africa; East Asia & Pacific; Eastern Europe & Central Asia; Latin America & the Caribbean; Middle East & North Africa; Southeast Asia; North America; West Europe,Academics
CoronaNet research project,https://coronanet-project.org,Non-Pharmaceutical Interventions; Health and Care Policy," includes 40,000 entries on  policy announcements or measures such as social distancing measures, border restrictions, public awareness campaigns, declaration of emergency, health.",worldwide; AFG; ALB; DZA; AND; AGO; ATG; ARG; ARM; AUS; AUT; AZE; BHS; BHR; BGD; BRB; BLR; BEL; BLZ; BEN; BTN; BOL; BIH; BWA; BRA; BGR; BFA; BDI; KHM; CMR; CAN; CPV; CAF; TCD; CHL; CHN; COL; COM; COG; CRI; HRV; CUB; CYP; CZE; DNK; DJI; DMA; DOM; ECU; EGY; SLV; GNQ; ERI; EST; ETH; FJI; FIN; FRA; GAB; GMB; GEO; DEU; GHA; GRC; GRD; GTM; GIN; GUY; HTI; HND; HUN; ISL; IND; IDN; IRQ; IRL; ISR; ITA; JAM; JPN; JOR; KAZ; KEN; KIR; PRK; KOR; KWT; KGZ; LVA; LBN; LSO; LBR; LBY; LIE; LTU; LUX; MDG; MWI; MYS; MDV; MLI; MLT; MHL; MRT; MUS; MEX; MCO; MNG; MAR; MOZ; MMR; NAM; NRU; NPL; NLD; NZL; NIC; NER; NGA; NOR; OMN; PAK; PLW; PAN; PNG; PRY; PER; PHL; POL; PRT; QAT; ROU; RUS; RWA; KNA; LCA; VCT; WSM; SMR; STP; SAU; SEN; SYC; SLE; SGP; SVK; SVN; SLB; SOM; ZAF; ESP; LKA; SDN; SUR; SWE; CHE; TWN; TJK; THA; TGO; TON; TTO; TUN; TUR; TKM; TUV; UGA; UKR; ARE; GBR; USA; URY; UZB; VUT; VEN; VNM; YEM; ZMB; ZWE; MNE; SRB; SSD,csv; xlsx,"[CoronaNet Research Project](https://twitter.com/CoronaNet_org);
        [Luca Messerschmidt](https://twitter.com/LuMesserschmidt);
        [Robert Kubinecc](https://twitter.com/rmkubinec);
        [Joan Barcelo](https://twitter.com/joan_barcelo_);
        [Allison Spencer Hartnett](https://twitter.com/as_hartnett)",Policy Tracker,national; sub-national,2020-01-01,up-to-date,Governmental agencies; Media; Academics,,worldwide; Sub-Saharan Africa; East Asia & Pacific; Eastern Europe & Central Asia; Latin America & the Caribbean; Middle East & North Africa; Southeast Asia; North America; West Europe,Academics
Complexity Science Hub COVID-19 Covid-19 Control Strategies List (CCCSL),http://covid19-interventions.com/,Non-Pharmaceutical Interventions, non-pharmaceutical interventions (NPIs) to stop the spread of COVID-19,worldwide; ALB; AUT; BEL; BIH; BRA; CAN; HRV; CZE; DNK; ECU; SLV; EST; FIN; FRA; DEU; GRC; HND; HKG; HUN; ISL; IND; IDN; IRL; ITA; JPN; KAZ; KOR; KWT; LTU; MYS; MUS; MEX; NLD; NZL; NOR; OMN; POL; PRT; ROU; SGP; SVK; SVN; ESP; SWE; CHE; TWN; THA; GBR; MNE; SRB; XKX; USA,csv,[Complexity Science Hub Vienna](https://twitter.com/CSHVienna),Policy Tracker,national; sub-national,2020-01-01,2021-03-31,Governmental agencies; International organisations; Academics; Media,,worldwide; West Europe; North America; East Asia & Pacific; Southeast Asia; Middle East & North Africa; Latin America & the Caribbean; Eastern Europe & Central Asia; Sub-Saharan Africa,Academics
Health Intervention Tracking for COVID-19 (HIT-COVID),https://akuko.io/post/covid-intervention-tracking,Non-Pharmaceutical Interventions; Health and Care Policy, documents public health policy interventions related to COVID-19,worldwide; AFG; ASM; ARG; AUS; AZE; BHR; BGD; BLZ; BEN; BTN; BOL; BWA; BRA; BFA; BDI; KHM; CMR; CAN; CAF; TCD; CHN; COL; DNK; EGY; SLV; GNQ; GUF; GAB; GEO; DEU; GHA; GRC; GIN; HKG; IND; IRL; ITA; JPN; KEN; LSO; LBR; LIE; LUX; MDG; MWI; MYS; MLI; MHL; MUS; MEX; MCO; MAR; MOZ; NAM; NPL; NLD; NZL; NER; NGA; OMN; PNG; PRY; PER; PRI; QAT; ROU; RUS; RUS; RWA; WSM; SEN; SLE; SGP; SVN; ZAF; SGS; ESP; LKA; SDN; CHE; TWN; THA; TON; UGA; UKR; GBR; USA; URY; VEN; ZMB; ZWE; GGY; IMN; JEY,html; csv,[Johns Hopkins Bloomberg School of Public Health](https://twitter.com/JohnsHopkinsSPH); [Boston University Public Health](https://twitter.com/BUSPH); [Qulu Zheng](https://twitter.com/qulu_zheng); [Justin Lessler](https://twitter.com/JustinLessler); [Alain B Labrique](https://twitter.com/alabriqu); [Andrew Azman](https://twitter.com/andrewazman); [Elizabeth Lee](https://twitter.com/Ymax),Policy Tracker,national; sub-national,2020-01-01,2021-05-19,Governmental agencies; International organisations; Academics; Media,,worldwide; Sub-Saharan Africa; East Asia & Pacific; Eastern Europe & Central Asia; Latin America & the Caribbean; Middle East & North Africa; Southeast Asia; North America; West Europe,Academics
Coronavirus containment measures,https://github.com/OlivierLej/Coronavirus_CounterMeasures,Non-Pharmaceutical Interventions,"containment measures incl. a stringency index as a time series, worldwide on a country level and for the USA on a state level",worldwide; AFG; ALB; DZA; AND; AGO; ATG; ARG; ARM; AUS; AUT; AZE; BHS; BHR; BGD; BRB; BLR; BEL; BLZ; BEN; BTN; BOL; BIH; BWA; BRA; BGR; BFA; BDI; KHM; CMR; CAN; CPV; CAF; TCD; CHL; CHN; COL; COM; COG; COK; CRI; CIV; HRV; CUB; CYP; CZE; DNK; DJI; DMA; DOM; ECU; EGY; SLV; GNQ; ERI; EST; ETH; FJI; FIN; FRA; GAB; GMB; GEO; DEU; GHA; GRC; GRL; GRD; GTM; GIN; GNB; GUY; HTI; HND; HUN; ISL; IND; IDN; IRQ; IRL; ISR; ITA; JAM; JPN; JOR; KAZ; KEN; KIR; PRK; KOR; KWT; KGZ; LVA; LBN; LSO; LBR; LBY; LTU; LUX; MDG; MWI; MYS; MDV; MLI; MLT; MHL; MRT; MUS; MEX; MNG; MAR; MOZ; MMR; NAM; NRU; NPL; NLD; NZL; NIC; NER; NGA; NIU; NOR; OMN; PAK; PLW; PAN; PNG; PRY; PER; PHL; POL; PRT; QAT; ROU; RUS; RWA; KNA; LCA; VCT; WSM; STP; SAU; SEN; SYC; SLE; SGP; SVK; SVN; SLB; SOM; ZAF; ESP; LKA; SDN; SUR; SWE; CHE; TJK; THA; TGO; TON; TTO; TUN; TUR; TKM; TUV; UGA; UKR; ARE; URY; UZB; VUT; VEN; VNM; YEM; ZMB; ZWE; MNE; SRB; USA,csv;,[Olivier Lejeune](https://twitter.com/O_LJ),Policy Tracker,national; sub-national,2020-01-23,2020-11-15,Governmental agencies; International organisations,,worldwide; West Europe; North America; East Asia & Pacific; Southeast Asia; Middle East & North Africa; Latin America & the Caribbean; Eastern Europe & Central Asia; Sub-Saharan Africa,Academics
COVID-19 US state policy database (CUSP),https://tinyurl.com/statepolicies,Non-Pharmaceutical Interventions; Health and Care Policy; Social and Employment Policy,"dates of policy changes on the state level in the areas of non-pharmaceutical interventions, social policies, healthcare, racial disparities, etc.",USA,xlsx; csv,"[Julia Raifman](https://twitter.com/JuliaRaifman);
[Jacob Bor](https://twitter.com/JacobBor);
[David K. Jones](https://twitter.com/dklinejones);
[Sarah Lipson](https://twitter.com/DrSarahLipson);
[Jonathan Jay](https://twitter.com/jonjaytweets)",Policy Tracker,sub-national,2020-03-05,up-to-date,Governmental agencies; Media,,North America,Academics
socialdistancing.stanford.edu,http://socialdistancing.stanford.edu,Non-Pharmaceutical Interventions," county-level nonpharmaceutical interventions (K-12 school closures, higher education closures, religious gathering cancellations, non-essential business closures, stay-at-home orders)",USA,csv;  xlsx,[Stanford HCI group](https://twitter.com/StanfordHCI); [University of Virginia Biocomplexity Institute](https://twitter.com/UVA_BI),Policy Tracker,national; sub-national,2020-03-11,2020-05-15,Governmental agencies; Media,,North America,Academics
